sourceid,dstid,hod,ride time
66,110,0,13.74516667
141,120,1,17.90233333
140,130,1,13.557
78,122,10,14.66933333
79,112,10,2.753
77,132,10,19.2485
136,77,10,22.97266667
138,57,10,11.9785
135,87,10,37.5475
120,106,10,13.87433333
134,97,10,20.001
139,47,10,31.82033333
97,99,14,21.71883333
138,77,8,24.18583333
137,87,8,54.79383333
11,106,13,10.02383333
139,67,8,30.7285
40,33,8,21.48483333
41,23,8,4.974833333
42,13,8,11.11233333
106,45,2,1.734833333
109,15,2,10.47433333
104,65,2,17.36133333
103,75,2,13.01716667
20,18,11,16.56816667
13,1,13,17.60216667
80,101,12,31.32116667
108,25,2,26.0615
107,35,2,22.87083333
102,85,2,24.924
105,55,2,15.21433333
102,1,14,23.06366667
68,106,7,16.05083333
66,126,7,15.404
87,131,22,27.64283333
65,136,7,24.60016667
88,121,22,15.44583333
118,35,16,29.29383333
113,85,16,21.47283333
86,141,22,6.9585
112,95,16,3.5585
35,31,0,17.78833333
36,21,0,29.58966667
89,111,22,9.296
37,11,0,13.3325
34,41,0,8.5975
30,81,0,15.24283333
126,45,2,9.524
128,25,2,18.33633333
125,55,2,6.240666667
31,71,0,13.20483333
119,25,16,33.783
67,116,7,23.3
121,95,2,14.49583333
58,122,0,22.305
59,112,0,16.40183333
117,45,16,26.7905
57,132,0,25.56866667
129,15,2,34.6055
32,61,0,32.42366667
122,85,2,13.83433333
33,51,0,26.1655
123,75,2,20.163
115,65,16,21.49283333
124,65,2,14.187
114,75,16,29.88116667
137,25,20,12.65733333
131,85,20,19.70533333
127,35,2,5.377666667
132,75,20,20.32566667
135,45,20,14.32983333
116,55,16,32.6275
134,55,20,19.95066667
68,116,8,13.47016667
66,136,8,22.545
94,107,19,18.372
69,106,8,38.938
46,113,21,19.795
45,123,21,8.843333333
67,126,8,28.2975
47,103,21,26.26766667
70,20,1,24.25633333
93,117,19,37.51766667
138,15,20,16.72966667
44,133,21,22.07883333
136,35,20,24.9015
92,127,19,26.5675
141,6,4,23.6045
34,18,18,14.95316667
33,28,18,21.94916667
30,58,18,41.033
129,66,4,5.810833333
32,38,18,32.91216667
128,76,4,15.82633333
31,48,18,36.534
133,65,20,21.79
130,95,20,26.72266667
139,113,4,8.475833333
21,70,12,13.25083333
26,20,12,12.2885
138,123,4,21.21183333
20,80,12,22.96583333
115,12,12,21.53266667
58,113,10,34.358
59,103,10,21.43
113,32,12,11.16366667
24,40,12,17.70133333
111,52,12,15.32583333
56,133,10,6.961333333
129,111,17,19.03316667
41,1,2,23.00116667
28,71,2,5.969666667
128,121,17,41.82216667
29,61,2,9.2615
86,109,2,15.4715
27,81,2,12.923
17,1,21,14.83616667
83,139,2,20.16666667
126,141,17,26.307
26,91,2,22.28383333
114,22,12,21.15666667
57,123,10,13.75433333
127,131,17,8.594666667
85,119,2,22.39233333
110,62,12,27.38566667
25,30,12,25.37033333
81,45,2,7.795666667
48,82,14,14.105
49,72,14,21.895
82,35,2,10.59033333
47,92,14,22.17766667
112,42,12,18.37766667
80,55,2,16.39883333
62,2,14,31.61033333
22,60,12,24.47766667
83,25,2,22.01816667
84,129,2,15.26166667
90,16,14,8.6925
88,3,13,22.21
37,9,9,20.20833333
66,48,0,17.73483333
61,98,0,14.353
64,68,0,14.249
69,18,0,21.09416667
28,87,19,26.47416667
27,97,19,24.71133333
68,28,0,9.0965
29,77,19,9.506
42,7,19,26.77483333
62,88,0,21.42033333
77,118,6,6.464166667
76,128,6,19.14533333
78,108,6,25.28016667
75,138,6,11.90483333
63,78,0,23.6985
115,35,9,23.65
111,75,9,20.87
8,97,2,8.980833333
113,55,9,18.02533333
65,58,0,24.038
114,45,9,14.71416667
9,87,2,12.78833333
110,85,9,24.33966667
139,93,13,12.268
26,138,22,25.32166667
28,118,22,21.5315
45,4,11,24.531
27,128,22,12.84033333
116,25,9,32.032
29,108,22,34.09166667
112,65,9,23.02083333
117,15,9,23.30316667
11,105,4,4.788166667
10,115,4,20.55216667
39,137,9,20.56166667
49,122,22,11.18383333
48,132,22,19.3715
128,7,4,22.42
18,64,11,3.8395
30,4,11,14.02616667
65,95,3,13.8945
69,55,3,22.635
67,75,3,31.04
17,74,11,16.12533333
66,85,3,16.12466667
19,54,11,21.70666667
80,5,3,17.20116667
58,47,14,2.8035
56,67,14,20.49266667
54,87,14,22.1925
59,37,14,24.2965
55,77,14,25.88666667
53,97,14,24.8785
105,5,21,34.40933333
17,4,12,33.432
89,81,18,26.33866667
62,13,2,21.036
60,33,2,35.31466667
2,5,9,6.242
91,110,20,11.54716667
123,20,18,38.506
122,30,18,8.143333333
90,120,20,22.5265
121,40,18,5.361833333
102,6,23,10.41516667
92,100,20,25.39683333
120,50,18,28.38816667
82,100,17,4.841
80,120,17,38.04416667
81,110,17,24.10716667
38,7,4,11.73366667
63,113,12,27.62566667
62,123,12,20.012
124,10,18,17.4145
119,90,18,23.44816667
92,44,5,7.128166667
95,14,5,18.50783333
94,24,5,14.81
79,100,17,33.87383333
77,120,17,15.86266667
93,34,5,14.90583333
78,110,17,31.2175
130,20,22,23.83683333
73,110,14,5.349666667
71,130,14,12.71366667
74,100,14,20.60316667
72,120,14,25.667
28,5,19,26.06683333
70,140,14,27.98783333
75,140,17,24.37033333
